Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path,GroupId
30,29,6,5,25,24,0,Train/0/00000_00002_00003.png,class_00_sequence_00002
30,29,6,5,25,24,0,Train/0/00000_00002_00004.png,class_00_sequence_00002
31,31,6,6,26,26,0,Train/0/00000_00002_00005.png,class_00_sequence_00002
30,30,5,5,25,25,0,Train/0/00000_00002_00006.png,class_00_sequence_00002
32,31,6,5,27,26,0,Train/0/00000_00002_00007.png,class_00_sequence_00002
31,32,5,6,26,27,0,Train/0/00000_00002_00008.png,class_00_sequence_00002
34,33,6,5,29,28,0,Train/0/00000_00002_00009.png,class_00_sequence_00002
34,34,5,5,29,29,0,Train/0/00000_00002_00010.png,class_00_sequence_00002
35,35,5,5,30,30,0,Train/0/00000_00002_00011.png,class_00_sequence_00002
38,37,6,5,33,32,0,Train/0/00000_00002_00012.png,class_00_sequence_00002
39,39,6,6,34,34,0,Train/0/00000_00002_00013.png,class_00_sequence_00002
40,39,6,5,35,34,0,Train/0/00000_00002_00014.png,class_00_sequence_00002
41,41,6,6,36,36,0,Train/0/00000_00002_00015.png,class_00_sequence_00002
44,44,6,6,39,39,0,Train/0/00000_00002_00016.png,class_00_sequence_00002
46,45,6,5,41,40,0,Train/0/00000_00002_00017.png,class_00_sequence_00002
48,47,6,5,43,42,0,Train/0/00000_00002_00018.png,class_00_sequence_00002
51,50,6,5,46,45,0,Train/0/00000_00002_00019.png,class_00_sequence_00002
52,52,5,5,47,47,0,Train/0/00000_00002_00020.png,class_00_sequence_00002
55,55,6,6,50,50,0,Train/0/00000_00002_00021.png,class_00_sequence_00002
59,59,6,6,54,54,0,Train/0/00000_00002_00022.png,class_00_sequence_00002
62,63,5,6,57,58,0,Train/0/00000_00002_00023.png,class_00_sequence_00002
69,70,7,6,63,64,0,Train/0/00000_00002_00024.png,class_00_sequence_00002
74,75,6,6,68,69,0,Train/0/00000_00002_00025.png,class_00_sequence_00002
83,85,7,8,76,78,0,Train/0/00000_00002_00026.png,class_00_sequence_00002
92,95,8,9,84,87,0,Train/0/00000_00002_00027.png,class_00_sequence_00002
107,108,10,9,98,99,0,Train/0/00000_00002_00028.png,class_00_sequence_00002
122,124,11,11,112,114,0,Train/0/00000_00002_00029.png,class_00_sequence_00002
55,59,6,6,50,54,0,Train/0/00000_00004_00000.png,class_00_sequence_00004
56,60,5,5,50,54,0,Train/0/00000_00004_00001.png,class_00_sequence_00004
56,60,5,5,51,55,0,Train/0/00000_00004_00002.png,class_00_sequence_00004
57,61,5,5,52,55,0,Train/0/00000_00004_00003.png,class_00_sequence_00004
59,62,6,5,54,57,0,Train/0/00000_00004_00004.png,class_00_sequence_00004
59,63,5,5,54,58,0,Train/0/00000_00004_00005.png,class_00_sequence_00004
59,66,5,6,54,60,0,Train/0/00000_00004_00006.png,class_00_sequence_00004
63,68,6,6,57,62,0,Train/0/00000_00004_00007.png,class_00_sequence_00004
63,69,6,6,58,63,0,Train/0/00000_00004_00008.png,class_00_sequence_00004
65,70,6,6,60,64,0,Train/0/00000_00004_00009.png,class_00_sequence_00004
66,71,6,7,60,65,0,Train/0/00000_00004_00010.png,class_00_sequence_00004
68,72,6,7,61,65,0,Train/0/00000_00004_00011.png,class_00_sequence_00004
70,73,7,7,64,67,0,Train/0/00000_00004_00012.png,class_00_sequence_00004
70,74,7,7,64,67,0,Train/0/00000_00004_00013.png,class_00_sequence_00004
70,74,7,7,64,68,0,Train/0/00000_00004_00014.png,class_00_sequence_00004
72,75,7,6,65,68,0,Train/0/00000_00004_00015.png,class_00_sequence_00004
74,79,7,7,68,72,0,Train/0/00000_00004_00016.png,class_00_sequence_00004
74,80,6,8,67,73,0,Train/0/00000_00004_00017.png,class_00_sequence_00004
76,80,7,7,69,72,0,Train/0/00000_00004_00018.png,class_00_sequence_00004
77,82,7,7,71,75,0,Train/0/00000_00004_00019.png,class_00_sequence_00004
80,84,8,7,73,77,0,Train/0/00000_00004_00020.png,class_00_sequence_00004
81,85,7,7,73,78,0,Train/0/00000_00004_00021.png,class_00_sequence_00004
81,88,7,8,74,80,0,Train/0/00000_00004_00022.png,class_00_sequence_00004
84,88,8,7,76,81,0,Train/0/00000_00004_00023.png,class_00_sequence_00004
85,89,8,8,78,82,0,Train/0/00000_00004_00024.png,class_00_sequence_00004
86,93,7,8,78,84,0,Train/0/00000_00004_00025.png,class_00_sequence_00004
90,96,8,9,82,88,0,Train/0/00000_00004_00026.png,class_00_sequence_00004
95,100,9,9,87,92,0,Train/0/00000_00004_00027.png,class_00_sequence_00004
98,106,8,10,90,97,0,Train/0/00000_00004_00028.png,class_00_sequence_00004
107,110,9,10,97,101,0,Train/0/00000_00004_00029.png,class_00_sequence_00004
27,27,5,6,22,22,0,Train/0/00000_00005_00000.png,class_00_sequence_00005
29,27,6,5,24,22,0,Train/0/00000_00005_00001.png,class_00_sequence_00005
29,28,5,5,24,23,0,Train/0/00000_00005_00002.png,class_00_sequence_00005
30,28,5,5,25,23,0,Train/0/00000_00005_00003.png,class_00_sequence_00005
32,30,6,6,27,25,0,Train/0/00000_00005_00004.png,class_00_sequence_00005
31,30,5,6,26,25,0,Train/0/00000_00005_00005.png,class_00_sequence_00005
32,29,6,5,27,24,0,Train/0/00000_00005_00006.png,class_00_sequence_00005
33,30,6,5,28,25,0,Train/0/00000_00005_00007.png,class_00_sequence_00005
32,32,5,5,27,26,0,Train/0/00000_00005_00008.png,class_00_sequence_00005
34,33,6,6,29,28,0,Train/0/00000_00005_00009.png,class_00_sequence_00005
34,33,5,5,29,28,0,Train/0/00000_00005_00010.png,class_00_sequence_00005
35,33,5,5,30,28,0,Train/0/00000_00005_00011.png,class_00_sequence_00005
37,35,5,6,32,30,0,Train/0/00000_00005_00012.png,class_00_sequence_00005
37,37,5,6,32,31,0,Train/0/00000_00005_00013.png,class_00_sequence_00005
38,37,5,5,33,32,0,Train/0/00000_00005_00014.png,class_00_sequence_00005
42,39,6,5,36,34,0,Train/0/00000_00005_00015.png,class_00_sequence_00005
43,40,6,5,38,35,0,Train/0/00000_00005_00016.png,class_00_sequence_00005
43,43,5,6,38,37,0,Train/0/00000_00005_00017.png,class_00_sequence_00005
45,44,5,6,40,39,0,Train/0/00000_00005_00018.png,class_00_sequence_00005
47,45,5,5,42,40,0,Train/0/00000_00005_00019.png,class_00_sequence_00005
49,47,5,5,44,42,0,Train/0/00000_00005_00020.png,class_00_sequence_00005
52,49,5,5,47,44,0,Train/0/00000_00005_00021.png,class_00_sequence_00005
56,54,5,5,50,49,0,Train/0/00000_00005_00022.png,class_00_sequence_00005
59,58,6,6,54,53,0,Train/0/00000_00005_00023.png,class_00_sequence_00005
63,62,5,6,58,57,0,Train/0/00000_00005_00024.png,class_00_sequence_00005
71,65,7,5,64,59,0,Train/0/00000_00005_00025.png,class_00_sequence_00005
76,72,7,6,70,66,0,Train/0/00000_00005_00026.png,class_00_sequence_00005
83,82,8,7,76,75,0,Train/0/00000_00005_00027.png,class_00_sequence_00005
95,94,9,8,87,85,0,Train/0/00000_00005_00028.png,class_00_sequence_00005
109,108,9,10,100,99,0,Train/0/00000_00005_00029.png,class_00_sequence_00005
34,36,6,6,29,31,0,Train/0/00000_00006_00000.png,class_00_sequence_00006
36,37,6,6,30,32,0,Train/0/00000_00006_00001.png,class_00_sequence_00006
35,38,5,6,30,33,0,Train/0/00000_00006_00002.png,class_00_sequence_00006
36,39,5,6,31,34,0,Train/0/00000_00006_00003.png,class_00_sequence_00006
37,39,5,5,32,34,0,Train/0/00000_00006_00004.png,class_00_sequence_00006
38,40,6,6,32,35,0,Train/0/00000_00006_00005.png,class_00_sequence_00006
39,41,6,6,33,35,0,Train/0/00000_00006_00006.png,class_00_sequence_00006
41,42,6,6,35,37,0,Train/0/00000_00006_00007.png,class_00_sequence_00006
41,43,6,6,35,37,0,Train/0/00000_00006_00008.png,class_00_sequence_00006
41,44,5,6,35,38,0,Train/0/00000_00006_00009.png,class_00_sequence_00006
42,45,5,5,37,39,0,Train/0/00000_00006_00010.png,class_00_sequence_00006
45,47,6,6,40,42,0,Train/0/00000_00006_00011.png,class_00_sequence_00006
46,49,5,6,41,44,0,Train/0/00000_00006_00012.png,class_00_sequence_00006
48,51,6,6,43,45,0,Train/0/00000_00006_00013.png,class_00_sequence_00006
50,53,5,6,45,48,0,Train/0/00000_00006_00014.png,class_00_sequence_00006
53,55,6,6,48,50,0,Train/0/00000_00006_00015.png,class_00_sequence_00006
54,56,5,5,48,50,0,Train/0/00000_00006_00016.png,class_00_sequence_00006
55,58,5,5,50,53,0,Train/0/00000_00006_00017.png,class_00_sequence_00006
56,61,5,6,51,55,0,Train/0/00000_00006_00018.png,class_00_sequence_00006
60,64,5,6,55,59,0,Train/0/00000_00006_00019.png,class_00_sequence_00006
63,69,6,7,58,62,0,Train/0/00000_00006_00020.png,class_00_sequence_00006
68,73,6,7,62,66,0,Train/0/00000_00006_00021.png,class_00_sequence_00006
72,76,6,6,66,69,0,Train/0/00000_00006_00022.png,class_00_sequence_00006
75,81,6,7,69,74,0,Train/0/00000_00006_00023.png,class_00_sequence_00006
82,85,8,7,74,77,0,Train/0/00000_00006_00024.png,class_00_sequence_00006
85,87,8,7,77,80,0,Train/0/00000_00006_00025.png,class_00_sequence_00006
92,95,8,8,83,87,0,Train/0/00000_00006_00026.png,class_00_sequence_00006
97,100,9,8,89,92,0,Train/0/00000_00006_00027.png,class_00_sequence_00006
105,109,9,10,95,100,0,Train/0/00000_00006_00028.png,class_00_sequence_00006
112,118,10,11,103,108,0,Train/0/00000_00006_00029.png,class_00_sequence_00006
30,32,5,5,25,27,1,Train/1/00001_00001_00000.png,class_01_sequence_00001
30,33,5,6,25,28,1,Train/1/00001_00001_00001.png,class_01_sequence_00001
31,33,5,6,25,28,1,Train/1/00001_00001_00002.png,class_01_sequence_00001
32,33,6,6,26,28,1,Train/1/00001_00001_00003.png,class_01_sequence_00001
32,33,5,6,26,28,1,Train/1/00001_00001_00004.png,class_01_sequence_00001
34,33,6,5,29,28,1,Train/1/00001_00001_00005.png,class_01_sequence_00001
36,34,6,5,31,29,1,Train/1/00001_00001_00006.png,class_01_sequence_00001
37,35,6,5,32,30,1,Train/1/00001_00001_00007.png,class_01_sequence_00001
37,36,5,5,31,30,1,Train/1/00001_00001_00008.png,class_01_sequence_00001
38,37,6,5,33,31,1,Train/1/00001_00001_00009.png,class_01_sequence_00001
38,39,5,6,33,34,1,Train/1/00001_00001_00010.png,class_01_sequence_00001
38,39,5,5,33,33,1,Train/1/00001_00001_00011.png,class_01_sequence_00001
39,39,5,5,34,34,1,Train/1/00001_00001_00012.png,class_01_sequence_00001
39,41,5,6,34,35,1,Train/1/00001_00001_00013.png,class_01_sequence_00001
40,42,5,6,35,36,1,Train/1/00001_00001_00014.png,class_01_sequence_00001
42,43,5,6,37,38,1,Train/1/00001_00001_00015.png,class_01_sequence_00001
44,45,5,6,38,39,1,Train/1/00001_00001_00016.png,class_01_sequence_00001
44,46,5,6,39,40,1,Train/1/00001_00001_00017.png,class_01_sequence_00001
46,46,6,6,41,41,1,Train/1/00001_00001_00018.png,class_01_sequence_00001
48,46,6,5,42,41,1,Train/1/00001_00001_00019.png,class_01_sequence_00001
48,48,5,5,43,43,1,Train/1/00001_00001_00020.png,class_01_sequence_00001
51,50,6,5,46,45,1,Train/1/00001_00001_00021.png,class_01_sequence_00001
53,53,6,6,48,48,1,Train/1/00001_00001_00022.png,class_01_sequence_00001
55,54,6,6,49,49,1,Train/1/00001_00001_00023.png,class_01_sequence_00001
57,55,6,5,52,49,1,Train/1/00001_00001_00024.png,class_01_sequence_00001
59,57,6,6,54,52,1,Train/1/00001_00001_00025.png,class_01_sequence_00001
61,57,6,5,56,52,1,Train/1/00001_00001_00026.png,class_01_sequence_00001
63,60,5,5,58,54,1,Train/1/00001_00001_00027.png,class_01_sequence_00001
68,61,7,5,62,56,1,Train/1/00001_00001_00028.png,class_01_sequence_00001
71,67,6,6,65,61,1,Train/1/00001_00001_00029.png,class_01_sequence_00001
46,48,6,6,41,43,1,Train/1/00001_00002_00000.png,class_01_sequence_00002
45,47,5,5,40,42,1,Train/1/00001_00002_00001.png,class_01_sequence_00002
46,48,6,6,41,43,1,Train/1/00001_00002_00002.png,class_01_sequence_00002
46,47,6,5,41,42,1,Train/1/00001_00002_00003.png,class_01_sequence_00002
46,47,6,5,41,42,1,Train/1/00001_00002_00004.png,class_01_sequence_00002
46,48,6,6,41,43,1,Train/1/00001_00002_00005.png,class_01_sequence_00002
47,49,5,5,41,43,1,Train/1/00001_00002_00006.png,class_01_sequence_00002
50,50,6,5,45,45,1,Train/1/00001_00002_00007.png,class_01_sequence_00002
50,51,6,6,45,46,1,Train/1/00001_00002_00008.png,class_01_sequence_00002
49,50,5,5,44,45,1,Train/1/00001_00002_00009.png,class_01_sequence_00002
50,51,6,5,45,45,1,Train/1/00001_00002_00010.png,class_01_sequence_00002
52,53,6,5,47,47,1,Train/1/00001_00002_00011.png,class_01_sequence_00002
52,55,5,6,47,50,1,Train/1/00001_00002_00012.png,class_01_sequence_00002
52,55,5,6,47,50,1,Train/1/00001_00002_00013.png,class_01_sequence_00002
54,56,6,6,49,51,1,Train/1/00001_00002_00014.png,class_01_sequence_00002
52,55,6,5,47,50,1,Train/1/00001_00002_00015.png,class_01_sequence_00002
53,55,6,5,47,49,1,Train/1/00001_00002_00016.png,class_01_sequence_00002
54,56,6,6,48,50,1,Train/1/00001_00002_00017.png,class_01_sequence_00002
56,57,6,6,50,52,1,Train/1/00001_00002_00018.png,class_01_sequence_00002
57,56,6,5,52,51,1,Train/1/00001_00002_00019.png,class_01_sequence_00002
57,57,6,6,52,52,1,Train/1/00001_00002_00020.png,class_01_sequence_00002
58,58,6,6,53,53,1,Train/1/00001_00002_00021.png,class_01_sequence_00002
60,59,5,5,54,54,1,Train/1/00001_00002_00022.png,class_01_sequence_00002
62,63,5,6,57,58,1,Train/1/00001_00002_00023.png,class_01_sequence_00002
63,64,5,6,58,59,1,Train/1/00001_00002_00024.png,class_01_sequence_00002
63,64,5,6,58,59,1,Train/1/00001_00002_00025.png,class_01_sequence_00002
64,64,5,6,59,59,1,Train/1/00001_00002_00026.png,class_01_sequence_00002
70,68,6,7,64,62,1,Train/1/00001_00002_00027.png,class_01_sequence_00002
72,69,6,6,66,63,1,Train/1/00001_00002_00028.png,class_01_sequence_00002
74,70,7,6,68,64,1,Train/1/00001_00002_00029.png,class_01_sequence_00002
25,26,5,6,20,21,1,Train/1/00001_00003_00000.png,class_01_sequence_00003
27,27,6,6,21,22,1,Train/1/00001_00003_00001.png,class_01_sequence_00003
27,27,6,5,21,21,1,Train/1/00001_00003_00002.png,class_01_sequence_00003
28,28,6,5,22,22,1,Train/1/00001_00003_00003.png,class_01_sequence_00003
27,30,5,6,22,24,1,Train/1/00001_00003_00004.png,class_01_sequence_00003
29,31,5,6,23,25,1,Train/1/00001_00003_00005.png,class_01_sequence_00003
29,32,5,6,24,26,1,Train/1/00001_00003_00006.png,class_01_sequence_00003
33,33,6,6,28,27,1,Train/1/00001_00003_00007.png,class_01_sequence_00003
34,33,6,6,29,28,1,Train/1/00001_00003_00008.png,class_01_sequence_00003
35,35,6,6,29,29,1,Train/1/00001_00003_00009.png,class_01_sequence_00003
36,37,5,6,30,31,1,Train/1/00001_00003_00010.png,class_01_sequence_00003
37,38,5,6,31,32,1,Train/1/00001_00003_00011.png,class_01_sequence_00003
37,37,5,5,32,32,1,Train/1/00001_00003_00012.png,class_01_sequence_00003
37,39,5,6,32,33,1,Train/1/00001_00003_00013.png,class_01_sequence_00003
39,39,6,6,34,34,1,Train/1/00001_00003_00014.png,class_01_sequence_00003
41,41,6,6,36,36,1,Train/1/00001_00003_00015.png,class_01_sequence_00003
42,43,5,6,37,38,1,Train/1/00001_00003_00016.png,class_01_sequence_00003
46,45,5,5,40,40,1,Train/1/00001_00003_00017.png,class_01_sequence_00003
50,49,6,5,45,44,1,Train/1/00001_00003_00018.png,class_01_sequence_00003
54,53,6,5,49,48,1,Train/1/00001_00003_00019.png,class_01_sequence_00003
54,56,5,6,48,50,1,Train/1/00001_00003_00020.png,class_01_sequence_00003
58,59,6,6,52,53,1,Train/1/00001_00003_00021.png,class_01_sequence_00003
63,64,6,6,58,59,1,Train/1/00001_00003_00022.png,class_01_sequence_00003
70,72,6,7,64,66,1,Train/1/00001_00003_00023.png,class_01_sequence_00003
76,79,6,7,70,72,1,Train/1/00001_00003_00024.png,class_01_sequence_00003
86,86,8,7,79,79,1,Train/1/00001_00003_00025.png,class_01_sequence_00003
98,98,9,9,89,90,1,Train/1/00001_00003_00026.png,class_01_sequence_00003
114,117,10,10,104,106,1,Train/1/00001_00003_00027.png,class_01_sequence_00003
134,141,11,13,122,128,1,Train/1/00001_00003_00028.png,class_01_sequence_00003
164,170,15,14,150,156,1,Train/1/00001_00003_00029.png,class_01_sequence_00003
40,40,6,5,35,35,1,Train/1/00001_00004_00000.png,class_01_sequence_00004
41,42,5,6,36,37,1,Train/1/00001_00004_00001.png,class_01_sequence_00004
43,42,6,5,38,37,1,Train/1/00001_00004_00002.png,class_01_sequence_00004
44,46,5,5,39,41,1,Train/1/00001_00004_00003.png,class_01_sequence_00004
49,47,6,5,44,42,1,Train/1/00001_00004_00004.png,class_01_sequence_00004
52,51,6,5,47,46,1,Train/1/00001_00004_00005.png,class_01_sequence_00004
53,52,6,5,48,47,1,Train/1/00001_00004_00006.png,class_01_sequence_00004
60,61,5,5,55,56,1,Train/1/00001_00004_00007.png,class_01_sequence_00004
62,65,5,6,57,60,1,Train/1/00001_00004_00008.png,class_01_sequence_00004
73,75,6,7,67,69,1,Train/1/00001_00004_00009.png,class_01_sequence_00004
83,80,8,7,76,73,1,Train/1/00001_00004_00010.png,class_01_sequence_00004
92,88,9,7,84,81,1,Train/1/00001_00004_00011.png,class_01_sequence_00004
28,29,5,5,23,24,1,Train/1/00001_00004_00012.png,class_01_sequence_00004
31,32,6,6,26,27,1,Train/1/00001_00004_00013.png,class_01_sequence_00004
31,32,5,6,26,27,1,Train/1/00001_00004_00014.png,class_01_sequence_00004
33,32,6,5,28,27,1,Train/1/00001_00004_00015.png,class_01_sequence_00004
32,32,6,5,27,27,1,Train/1/00001_00004_00016.png,class_01_sequence_00004
34,35,6,6,29,30,1,Train/1/00001_00004_00017.png,class_01_sequence_00004
34,36,5,6,29,31,1,Train/1/00001_00004_00018.png,class_01_sequence_00004
36,37,6,6,31,32,1,Train/1/00001_00004_00019.png,class_01_sequence_00004
37,38,5,6,32,33,1,Train/1/00001_00004_00020.png,class_01_sequence_00004
39,39,5,5,34,34,1,Train/1/00001_00004_00021.png,class_01_sequence_00004
41,41,6,6,36,36,1,Train/1/00001_00004_00022.png,class_01_sequence_00004
44,43,6,5,39,38,1,Train/1/00001_00004_00023.png,class_01_sequence_00004
47,46,6,5,42,41,1,Train/1/00001_00004_00024.png,class_01_sequence_00004
48,48,6,6,43,43,1,Train/1/00001_00004_00025.png,class_01_sequence_00004
50,51,6,6,45,46,1,Train/1/00001_00004_00026.png,class_01_sequence_00004
55,55,6,6,50,50,1,Train/1/00001_00004_00027.png,class_01_sequence_00004
59,59,6,6,54,54,1,Train/1/00001_00004_00028.png,class_01_sequence_00004
63,64,5,6,58,59,1,Train/1/00001_00004_00029.png,class_01_sequence_00004
30,28,6,5,25,23,1,Train/1/00001_00005_00000.png,class_01_sequence_00005
29,30,5,5,24,25,1,Train/1/00001_00005_00001.png,class_01_sequence_00005
29,31,5,6,24,26,1,Train/1/00001_00005_00002.png,class_01_sequence_00005
30,30,5,5,25,25,1,Train/1/00001_00005_00003.png,class_01_sequence_00005
32,31,6,5,26,25,1,Train/1/00001_00005_00004.png,class_01_sequence_00005
33,32,6,5,28,27,1,Train/1/00001_00005_00005.png,class_01_sequence_00005
32,34,5,6,27,29,1,Train/1/00001_00005_00006.png,class_01_sequence_00005
34,32,6,6,29,27,1,Train/1/00001_00005_00007.png,class_01_sequence_00005
33,35,5,6,28,29,1,Train/1/00001_00005_00008.png,class_01_sequence_00005
34,35,5,6,29,30,1,Train/1/00001_00005_00009.png,class_01_sequence_00005
36,36,6,6,31,31,1,Train/1/00001_00005_00010.png,class_01_sequence_00005
38,38,6,6,32,32,1,Train/1/00001_00005_00011.png,class_01_sequence_00005
39,39,5,6,33,34,1,Train/1/00001_00005_00012.png,class_01_sequence_00005
39,40,5,6,34,35,1,Train/1/00001_00005_00013.png,class_01_sequence_00005
42,40,5,6,37,35,1,Train/1/00001_00005_00014.png,class_01_sequence_00005
43,43,6,6,38,38,1,Train/1/00001_00005_00015.png,class_01_sequence_00005
46,44,6,5,41,39,1,Train/1/00001_00005_00016.png,class_01_sequence_00005
47,46,5,5,41,40,1,Train/1/00001_00005_00017.png,class_01_sequence_00005
49,47,5,5,43,42,1,Train/1/00001_00005_00018.png,class_01_sequence_00005
51,50,6,6,46,45,1,Train/1/00001_00005_00019.png,class_01_sequence_00005
50,49,5,5,45,44,1,Train/1/00001_00005_00020.png,class_01_sequence_00005
53,52,5,5,48,47,1,Train/1/00001_00005_00021.png,class_01_sequence_00005
55,53,6,5,50,48,1,Train/1/00001_00005_00022.png,class_01_sequence_00005
57,55,6,5,52,50,1,Train/1/00001_00005_00023.png,class_01_sequence_00005
58,57,6,5,53,52,1,Train/1/00001_00005_00024.png,class_01_sequence_00005
59,57,5,5,53,52,1,Train/1/00001_00005_00025.png,class_01_sequence_00005
61,59,6,6,55,54,1,Train/1/00001_00005_00026.png,class_01_sequence_00005
62,62,5,6,57,57,1,Train/1/00001_00005_00027.png,class_01_sequence_00005
63,63,5,6,57,57,1,Train/1/00001_00005_00028.png,class_01_sequence_00005
64,63,5,6,58,58,1,Train/1/00001_00005_00029.png,class_01_sequence_00005
44,50,6,6,39,45,1,Train/1/00001_00006_00000.png,class_01_sequence_00006
43,49,5,5,38,44,1,Train/1/00001_00006_00001.png,class_01_sequence_00006
44,50,6,5,39,45,1,Train/1/00001_00006_00002.png,class_01_sequence_00006
43,50,5,5,38,45,1,Train/1/00001_00006_00003.png,class_01_sequence_00006
43,51,5,5,38,45,1,Train/1/00001_00006_00004.png,class_01_sequence_00006
44,51,5,5,39,46,1,Train/1/00001_00006_00005.png,class_01_sequence_00006
46,53,6,5,40,47,1,Train/1/00001_00006_00006.png,class_01_sequence_00006
46,54,5,6,40,49,1,Train/1/00001_00006_00007.png,class_01_sequence_00006
46,55,5,6,41,50,1,Train/1/00001_00006_00008.png,class_01_sequence_00006
